metric,document,run_1,run_2,run_3,run_4,run_5,mean,std,delta_from_run_1
StepF1,3M_OEM_SOP,0.647,0.638,0.647,0.638,0.629,0.6397999999999999,0.0067349832961931,-0.018000000000000016
StepF1,DOA_Food_Man_Proc_Stor,0.182,0.162,0.16,0.179,0.211,0.17880000000000001,0.0183455716727498,0.028999999999999998
StepF1,op_firesafety_guideline,0.438,0.476,0.462,0.431,0.406,0.4426,0.024442585787923493,-0.03199999999999997
AdjacencyF1,3M_OEM_SOP,0.267,0.267,0.267,0.276,0.267,0.26880000000000004,0.003600000000000003,0.0
AdjacencyF1,DOA_Food_Man_Proc_Stor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdjacencyF1,op_firesafety_guideline,0.476,0.435,0.435,0.526,0.556,0.4856,0.048582301304075766,0.08000000000000007
Kendall,3M_OEM_SOP,0.758,0.758,0.758,0.784,0.758,0.7632,0.01040000000000001,0.0
Kendall,DOA_Food_Man_Proc_Stor,0.571,0.8,0.6,0.524,0.536,0.6062000000000001,0.10051945085405115,-0.03499999999999992
Kendall,op_firesafety_guideline,0.945,0.952,0.952,0.956,0.949,0.9507999999999999,0.0036551333764994164,0.0040000000000000036
ConstraintCoverage,3M_OEM_SOP,0.0,0.25,0.0,0.0,0.0,0.05,0.1,0.0
ConstraintCoverage,DOA_Food_Man_Proc_Stor,0.625,0.75,0.625,0.5,0.625,0.625,0.07905694150420949,0.0
ConstraintCoverage,op_firesafety_guideline,0.5,0.6,0.5,0.4,0.6,0.52,0.0748331477354788,0.09999999999999998
ConstraintAttachmentF1,3M_OEM_SOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConstraintAttachmentF1,DOA_Food_Man_Proc_Stor,0.105,0.154,0.1,0.053,0.15,0.11239999999999999,0.0370977088241309,0.045
ConstraintAttachmentF1,op_firesafety_guideline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_score,3M_OEM_SOP,0.533,0.527,0.533,0.529,0.52,0.5284000000000001,0.004800000000000005,-0.013000000000000012
A_score,DOA_Food_Man_Proc_Stor,0.127,0.113,0.112,0.125,0.148,0.125,0.013007690033207276,0.02099999999999999
A_score,op_firesafety_guideline,0.449,0.464,0.454,0.46,0.451,0.4556,0.005607138307550479,0.0020000000000000018
